episode,total_reward,critic_loss,actor_loss_sim,actor_loss_real,physics_loss,steps
0,-0.8261515351833806,0.0,0.0,0.0,0.0,135
1,-0.7843934653236644,0.0,0.0,0.0,0.0,135
2,-0.7836007371637971,0.0,0.0,0.0,0.0,135
3,-0.7489772607549094,1.4582445621490479,9396.482421875,7.946375846862793,51.98065185546875,135
4,-0.8383698714245111,0.7176831364631653,9162.8427734375,8.229639053344727,51.97515869140625,135
5,-0.8070096965888656,0.6136916875839233,8531.921875,8.026103973388672,52.057010650634766,135
6,-0.7784016642166535,0.5634164810180664,8954.24609375,8.335189819335938,51.85297393798828,135
7,-0.8150681329299558,0.6150457262992859,9036.2177734375,8.479606628417969,52.110107421875,135
8,-0.7960128554423138,0.6915492415428162,8748.2509765625,8.18060302734375,51.82960510253906,135
9,-0.791812108055674,0.5139585137367249,8515.119140625,8.191977500915527,51.942481994628906,135
10,-0.7599656113440871,0.44969442486763,8713.873046875,8.498672485351562,51.743675231933594,135
11,-0.8365114329999773,0.47903206944465637,8642.662109375,8.309986114501953,51.790184020996094,135
12,-0.8369276380049994,0.4870500862598419,8332.341796875,8.277145385742188,51.92041015625,135
13,-0.8187704410450534,0.5008853673934937,7882.09375,8.180041313171387,50.91655731201172,135
14,-0.7703669727111989,0.5274516344070435,7809.0234375,8.47828483581543,51.65087890625,135
15,-0.8159756794676285,0.5831061601638794,7782.2119140625,8.169435501098633,51.67744827270508,135
16,-0.7514130041620226,0.5196171998977661,7337.634765625,7.881403923034668,52.083133697509766,135
17,-0.7405091420741878,0.4457736313343048,7472.97705078125,8.319938659667969,51.689422607421875,135
18,-0.8270295872644058,0.41526809334754944,7102.58740234375,8.054054260253906,51.932106018066406,135
19,-0.8299944724886156,0.6778771281242371,7198.388671875,8.073856353759766,51.972232818603516,135
20,-0.778998123477504,0.3956983685493469,7029.43505859375,8.038150787353516,51.85940170288086,135
21,-0.8131882810049867,0.5814989805221558,6997.5263671875,8.372642517089844,51.90175247192383,135
22,-0.772016885987541,0.7498496174812317,7106.81884765625,8.073211669921875,52.167991638183594,135
23,-0.7811273514322963,0.5808323621749878,6836.783203125,7.955130577087402,51.623313903808594,135
24,-0.8039348635776693,0.563921332359314,6512.1201171875,7.756674766540527,51.94392013549805,135
25,-0.7891931275848039,0.5505507588386536,6666.818359375,8.207983016967773,52.01954650878906,135
26,-0.8043526849223416,0.6264101266860962,6712.85546875,8.383806228637695,51.95920181274414,135
27,-0.758139739412436,0.5117647647857666,6617.796875,7.880950927734375,51.942970275878906,135
28,-0.8104449042682608,0.39164453744888306,6746.87158203125,8.44101333618164,51.753379821777344,135
29,-0.8363669985246088,0.5186275243759155,6600.3447265625,8.296247482299805,51.94215393066406,135
30,-0.8135540758233403,0.37624239921569824,6414.8251953125,8.230061531066895,51.92084884643555,135
31,-0.7837603429298909,0.47601979970932007,6382.2685546875,7.896988868713379,51.83613204956055,135
32,-0.7971622265820408,0.654526948928833,6351.73291015625,8.327106475830078,51.992549896240234,135
33,-0.8472962632856795,0.6830095052719116,6257.1279296875,7.911362648010254,51.855560302734375,135
34,-0.7446562957113195,0.47131282091140747,6261.623046875,7.8048272132873535,51.742679595947266,135
35,-0.7569917756658109,0.5470248460769653,6345.0234375,7.905593395233154,52.085479736328125,135
36,-0.7976576199719418,0.5643082857131958,6068.787109375,7.995363235473633,51.84453201293945,135
37,-0.7949552816430512,0.4142889380455017,6100.9892578125,8.0010986328125,51.68569564819336,135
38,-0.8252802595942922,0.5627464652061462,6137.9453125,8.35305404663086,51.78569793701172,135
39,-0.7784489494892476,0.48288634419441223,6088.71240234375,8.080545425415039,52.10847091674805,135
40,-0.7729036393744175,0.5625916123390198,6267.31005859375,8.079948425292969,51.905303955078125,135
41,-0.8445462284461244,0.6024690866470337,5951.900390625,8.09212589263916,52.02864074707031,135
42,-0.839163054402015,0.4292721748352051,6141.05859375,8.023124694824219,52.02838134765625,135
43,-0.8293169403524376,0.5134119987487793,6091.9423828125,8.129718780517578,51.98906707763672,135
44,-0.8332602765574119,0.4899248778820038,6242.6943359375,8.472495079040527,51.90283203125,135
45,-0.7899660635198236,0.49083590507507324,6076.89111328125,7.867437362670898,52.05076599121094,135
46,-0.7816658050197657,0.5285946130752563,6041.4443359375,8.310684204101562,52.416019439697266,135
47,-0.7824909942736848,0.4584870934486389,6178.916015625,8.290608406066895,52.0413703918457,135
48,-0.8235618690872796,0.4504931569099426,5904.53125,8.133553504943848,51.5646858215332,135
49,-0.8422241957561345,0.5984581112861633,5968.66748046875,7.844913482666016,51.68844985961914,135
50,-0.7603465285315176,0.40594664216041565,5858.470703125,7.819971561431885,51.86677932739258,135
51,-0.8122329949168485,0.6715292930603027,5847.65234375,7.969561576843262,51.84025192260742,135
52,-0.7973225799566719,0.6349180936813354,5489.6875,7.493402481079102,51.990196228027344,135
53,-0.7674356699959023,0.5115296840667725,5721.3212890625,8.266185760498047,52.05864715576172,135
54,-0.8319207533236117,0.4108659029006958,5519.84423828125,7.852046966552734,51.80903625488281,135
55,-0.834058941131807,0.5293105244636536,5623.943359375,7.874722480773926,52.0672607421875,135
56,-0.7850020600110292,0.6029049158096313,5362.98974609375,7.767358303070068,52.05698013305664,135
57,-0.800349613332655,0.3179982900619507,5543.93994140625,8.093534469604492,51.61112594604492,135
