episode,total_reward,critic_loss,actor_loss_sim,actor_loss_real,physics_loss,steps
0,-123.9231835603714,0.0,0.0,0.0,0.0,135
1,-141.41381937265396,0.0,0.0,0.0,0.0,135
2,-111.73327121138573,0.0,0.0,0.0,0.0,135
3,-160.8315944671631,0.0,0.0,0.0,0.0,135
4,-124.17298510670662,0.0,0.0,0.0,0.0,135
5,-289.4153801500797,0.0673009604215622,0.05076710134744644,0.3606931269168854,42.2636604309082,135
6,-345.910303235054,0.058447979390621185,0.575878918170929,1.6526856422424316,46.1155891418457,135
7,-341.0233816578984,0.19314542412757874,2.389939546585083,3.6282501220703125,46.17325210571289,135
8,-334.92912009358406,0.29130542278289795,3.5526652336120605,6.008915424346924,46.76874542236328,135
9,-244.26359608769417,0.8939946293830872,4.5363006591796875,8.797098159790039,47.057579040527344,135
10,-147.7810054421425,0.7919883728027344,3.6632118225097656,9.285256385803223,46.54584884643555,135
11,-149.4876872897148,0.6740957498550415,4.534242630004883,9.281600952148438,48.24245071411133,135
12,-146.53298276662827,0.6726889610290527,9.247627258300781,8.919515609741211,47.05768585205078,135
13,-124.05633842178213,0.5742429494857788,9.392516136169434,8.831602096557617,46.35511016845703,135
14,-83.68052691671983,0.484857976436615,9.536809921264648,9.229253768920898,46.17373275756836,135
15,-79.12578688509893,0.20869112014770508,-9.520622253417969,2.1108851432800293,46.416316986083984,135
16,-78.92300969852477,0.08223211020231247,-9.571968078613281,-1.2151204347610474,47.512229919433594,135
17,-79.7894421639503,0.22933341562747955,-9.661847114562988,-5.5796966552734375,48.79661560058594,135
18,-79.6287809725145,0.7021677494049072,-9.706470489501953,-8.712677001953125,49.65079879760742,135
19,-82.88296510391592,0.8002214431762695,-9.7100191116333,-8.986156463623047,50.108795166015625,135
20,-81.92765901605162,0.7714155912399292,-9.761514663696289,-9.177699089050293,50.55042266845703,135
21,-79.73583953131856,0.8212810754776001,-9.754827499389648,-9.147797584533691,51.222774505615234,135
22,-79.85497647165721,0.69074547290802,9.2576904296875,-8.181861877441406,51.35208511352539,135
23,-79.59915626119619,0.076360322535038,9.598161697387695,0.15821188688278198,51.79395294189453,135
